,SYN.Flag.Count,Total.Fwd.Packets,Total.Backward.Packets,Flow.Duration,Flow.Packets.s,Flow.Bytes.s,Fwd.Packet.Length.Mean,Bwd.Packet.Length.Mean,Bwd.IAT.Mean,ACK.Flag.Count,Active.Mean,Label,Inbound
54,1,4,0,3,1333333.333,8.00E+06,6,0,0,0,0,BENIGN,0
55,0,1,2,197,15228.4264,91370.55838,6,6,3,0,0,BENIGN,1
56,0,3,0,4,750000,4500000,6,0,0,0,0,BENIGN,1
57,0,1,2,112,26785.71429,0,0,0,3,0,0,BENIGN,1
58,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
59,0,2,0,1,2.00E+06,0,0,0,0,0,0,BENIGN,1
60,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
61,0,2,2,20566,194.4957697,10891.7631,42,70,2,0,0,BENIGN,0
62,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
63,0,2,2,55650,71.87780773,3809.52381,45,61,3,0,0,BENIGN,0
64,0,4,0,1297,3084.040093,99460.29298,32.25,0,0,0,0,BENIGN,0
65,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
66,0,2,2,20864,191.7177914,10927.91411,43,71,2,0,0,BENIGN,0
67,0,4,0,791,5056.890013,163084.7029,32.25,0,0,0,0,BENIGN,0
68,0,39,0,113395138,0.34393009,0,0,0,0,0,4.5,BENIGN,0
69,0,2,2,20778,192.51131,7700.452402,32,48,3,0,0,BENIGN,0
70,0,3,0,3,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
71,0,1,3,17065,234.3978904,1406.387343,6,6,875.5,0,0,BENIGN,0
72,0,1,4,159,31446.54088,150943.3962,0,6,1.333333333,0,0,BENIGN,1
73,0,104,145,110347107,2.256515887,222.2985329,114.7884615,86.84137931,766013.7639,1,339459.5,BENIGN,0
74,0,2,2,20625,193.9393939,16387.87879,42,127,3,0,0,BENIGN,0
75,0,2,0,1,2.00E+06,1.20E+07,6,0,0,0,0,BENIGN,1
76,0,1,2,33194,90.37777912,542.2666747,6,6,2,0,0,BENIGN,0
77,0,2,2,24386,164.028541,12876.24047,45,112,3,0,0,BENIGN,0
78,0,5,2,33082,211.5954295,0,0,0,3,1,0,BENIGN,0
79,0,2,2,20705,193.1900507,12364.16325,38,90,1,0,0,BENIGN,0
80,0,8,2,53091075,0.188355576,5.782516176,26.875,46,3,0,26629,BENIGN,0
81,0,4,0,682,5865.102639,189149.5601,32.25,0,0,0,0,BENIGN,0
82,0,2,2,20830,192.0307249,13634.18147,43,99,3,0,0,BENIGN,0
83,0,2,2,20985,190.6123421,13819.39481,43,102,3,0,0,BENIGN,0
84,0,1,1,91367,21.88974137,131.3384482,6,6,0,0,0,BENIGN,0
85,0,2,8,7198788,1.389122725,0,0,0,1020483.857,1,0,BENIGN,0
86,0,1,2,193,15544.04145,93264.2487,6,6,2,0,0,BENIGN,1
87,0,3,2,252,19841.26984,357142.8571,26,6,3,0,0,BENIGN,1
88,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
89,0,27,24,60862286,0.837957352,161.7093384,78.96296296,321.25,2642226.304,1,130426.8333,BENIGN,0
90,0,2,2,20787,192.4279598,14432.09698,47,103,2,0,0,BENIGN,0
91,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,0
92,0,2,0,1,2.00E+06,1.20E+07,6,0,0,0,0,BENIGN,0
93,0,40,37,115949332,0.66408317,146.2449133,107.675,341.8918919,3125528.028,1,30790.09091,BENIGN,0
94,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
95,0,1,2,146,20547.94521,123287.6712,6,6,3,0,0,BENIGN,1
96,0,2,2,23814,167.9684219,8734.357941,36,68,2,0,0,BENIGN,0
97,0,1,2,62,48387.09677,0,0,0,2,0,0,BENIGN,1
98,0,2,2,21107,189.5105889,12507.69887,38,94,1,0,0,BENIGN,0
99,0,2,10,14339866,0.836827903,0,0,0,1588849.778,1,6340049,BENIGN,0
100,0,2,2,20881,191.5617068,11014.79814,32,83,3,0,0,BENIGN,0
101,0,1,3,298,13422.81879,80536.91275,6,6,68.5,0,0,BENIGN,1
102,0,2,2,54223,73.76943364,5163.860354,36,104,3,0,0,BENIGN,0
103,0,88,151,407677,586.2484271,527667.737,34.29545455,1404.635762,2541.253333,1,0,BENIGN,0
104,0,1,2,214,14018.69159,84112.14953,6,6,2,0,0,BENIGN,1
105,0,2,2,20990,190.5669366,6288.708909,25,41,3,0,0,BENIGN,0
106,0,34,28,118269673,0.524225682,104.7267629,91.70588235,331,4376837.963,1,543751.5,BENIGN,0
107,0,27,24,60579696,0.841866225,154.1110408,100.8888889,275.5,2629916.87,1,123648.8333,BENIGN,0
108,0,2,2,21090,189.6633476,11000.47416,50,66,3,0,0,BENIGN,0
109,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,0
110,0,32,45,1638376,46.99775876,6231.780739,86.25,165.5555556,36012.45455,1,0,BENIGN,0
111,0,25,24,60863054,0.80508612,161.8058798,85.52,321.25,2642203.043,1,136214.6667,BENIGN,0
112,0,20,20,10164958,3.935087582,2047.229315,336.9,703.6,533481.6842,1,212679,BENIGN,0
113,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,0
114,0,45,46,110566508,0.823034042,269.7561905,490.8,168.2608696,2455006.467,1,115739.8182,BENIGN,0
115,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
116,0,1,3,56422,70.894332,425.365992,6,6,768,0,0,BENIGN,0
117,0,2,2,22382,178.7150389,8757.036905,41,57,3,0,0,BENIGN,0
118,0,1,2,165,18181.81818,109090.9091,6,6,3,0,0,BENIGN,1
119,0,2,2,20916,191.2411551,17307.32454,47,134,3,0,0,BENIGN,0
120,0,2,2,45488,87.93527963,4132.958143,33,61,2,0,0,BENIGN,0
121,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
122,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
123,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,0
124,0,3,0,225,13333.33333,80000,6,0,0,0,0,BENIGN,1
125,0,2,2,63878,62.61936817,2567.394095,27,55,1,0,0,BENIGN,0
126,0,6,0,9011959,0.66578199,0,0,0,0,1,3011562,BENIGN,1
127,0,2,0,1,2.00E+06,0,0,0,0,0,0,BENIGN,1
128,0,1,1,1,2.00E+06,5.90E+07,53,6,0,0,0,BENIGN,1
129,0,2,8,7121294,1.404239173,0,0,0,1009469.857,1,0,BENIGN,0
130,0,2,0,3,666666.6667,0,0,0,0,0,0,BENIGN,0
131,0,2,2,21265,188.1025159,21819.89184,46,186,3,0,0,BENIGN,0
132,0,2,2,22697,176.2347447,6873.155043,31,47,3,0,0,BENIGN,0
133,0,2,2,45096,88.69966294,4878.481462,31,79,3,0,0,BENIGN,0
134,0,5,2,5504190,1.271758424,3.270235948,3.6,0,2,1,0,BENIGN,0
135,0,8,2,53787499,0.185916806,6.042296185,29.125,46,2,0,62192,BENIGN,0
136,0,3,0,3,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
137,0,39,0,112794685,0.345760973,0,0,0,0,0,4.5,BENIGN,0
138,0,2,2,21802,183.4694065,10641.22558,50,66,3,0,0,BENIGN,0
139,0,1,2,97,30927.83505,185567.0103,6,6,3,0,0,BENIGN,1
140,0,14,0,99669604,0.140464088,0,0,0,0,0,1545484.667,BENIGN,0
141,0,6,0,9012825,0.665718018,0,0,0,0,1,3006814,BENIGN,1
142,0,5,2,5059700,1.383481234,3.557523173,3.6,0,2,1,0,BENIGN,0
143,0,24,20,119613294,0.367852088,12.07223672,28.5,38,6291040.158,0,1113806,BENIGN,0
144,0,5,2,5508326,1.270803507,3.267780447,3.6,0,4,1,0,BENIGN,0
145,0,2,2,46222,86.53887759,3375.016226,31,47,3,0,0,BENIGN,0
146,0,1,2,208665,14.37711164,86.26266983,6,6,2,0,0,BENIGN,0
147,0,16,12,109904,254.7677974,67777.33295,105.0625,480.6666667,7526.818182,1,0,BENIGN,0
149,0,2,2,21070,189.8433792,10061.6991,45,61,2,0,0,BENIGN,0
150,0,2,2,21140,189.2147588,10406.81173,41,69,3,0,0,BENIGN,0
151,0,2,2,46891,85.30421616,4009.29816,33,61,3,0,0,BENIGN,0
152,0,10,8,5917624,3.041761356,270.2098004,127.1,41,13787,1,121946,BENIGN,0
153,1,2,2,1459,2741.603838,60315.28444,6,38,2,0,0,BENIGN,0
154,0,130,215,117416107,2.938268086,2663.22916,24.29230769,1439.75814,548237.0187,1,161524.5,BENIGN,0
155,0,2,8,7260557,1.377304799,0,0,0,1029371.286,1,0,BENIGN,0
156,0,3,0,3,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
157,0,2,0,18,111111.1111,0,0,0,0,0,0,BENIGN,0
158,0,2,2,23301,171.6664521,12445.81778,43,102,2,0,0,BENIGN,0
159,0,28,28,117344125,0.477228834,83.14008051,67.64285714,280.7857143,4344561.111,1,254090.5,BENIGN,0
160,0,32,34,117613476,0.561160185,100.2096052,80.75,270.6470588,3563235.091,1,138671.5,BENIGN,0
161,0,2,2,20935,191.0675902,10126.58228,45,61,3,0,0,BENIGN,0
162,0,2,0,2,1.00E+06,0,0,0,0,0,0,BENIGN,0
163,0,3,0,255,11764.70588,70588.23529,6,0,0,0,0,BENIGN,1
164,0,8,0,78717883,0.101628749,0,0,0,0,0,2,BENIGN,0
165,0,3,0,311,9646.302251,57877.8135,6,0,0,0,0,BENIGN,1
166,0,14,10,5570148,4.308682642,1566.744726,97.07142857,736.8,6481.444444,1,130951,BENIGN,0
167,0,1,2,186,16129.03226,96774.19355,6,6,2,0,0,BENIGN,1
168,0,2,2,23366,171.188907,10956.09005,38,90,3,0,0,BENIGN,0
169,0,6,0,418472,14.33787685,315.4332906,22,0,0,0,0,BENIGN,0
170,0,3,0,4,750000,2.40E+07,32,0,0,0,0,BENIGN,1
171,0,1,2,181,16574.58564,99447.51381,6,6,3,0,0,BENIGN,1
172,0,2,2,105506,37.91253578,2748.658844,32,113,2,0,0,BENIGN,0
173,0,2,0,1,2.00E+06,1.20E+07,6,0,0,0,0,BENIGN,0
174,0,2,2,20615,194.0334708,9992.723745,34,69,3,0,0,BENIGN,0
175,0,31,28,116007727,0.508586812,23.51567495,29.09677419,65.21428571,4168829.407,1,23004.63636,BENIGN,0
176,0,1,1,28135,71.08583615,426.5150169,6,6,0,0,0,BENIGN,0
177,0,1,2,67,44776.1194,179104.4776,0,6,2,0,0,BENIGN,1
178,0,2,0,1,2.00E+06,8.88E+08,444,0,0,0,0,BENIGN,1
179,0,2,0,3,666666.6667,0,0,0,0,0,0,BENIGN,1
180,0,2,2,21741,183.9841774,8463.272159,32,60,3,0,0,BENIGN,0
181,0,2,2,20987,190.5941773,8767.332158,32,60,3,0,0,BENIGN,0
182,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
183,0,2,2,22859,174.9857824,8749.28912,42,58,2,0,0,BENIGN,0
184,0,26,27,65204194,0.81283115,94.25774054,169.3846154,64.51851852,2505338.962,1,131879.8333,BENIGN,0
185,0,36,37,117052994,0.623649148,97.88728685,69,242.5405405,3250022.806,1,151015,BENIGN,0
186,0,2,2,21198,188.6970469,12359.65657,46,85,3,0,0,BENIGN,0
187,0,2,2,20998,190.4943328,11620.1543,35,87,3,0,0,BENIGN,0
188,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
189,0,12,15,90586,298.0593028,167156.0727,339.5,737.8666667,4640,1,0,BENIGN,0
190,0,3,0,3,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
191,0,2,0,3,666666.6667,4.00E+06,6,0,0,0,0,BENIGN,0
192,0,1,2,21822,137.4759417,824.8556503,6,6,3,0,0,BENIGN,0
193,0,2,2,20973,190.7214037,10489.6772,41,69,1,0,0,BENIGN,0
194,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
195,0,3,0,4,750000,4500000,6,0,0,0,0,BENIGN,1
196,0,56,74,80349382,1.617934037,213.6917494,91.82142857,162.5405405,1099826.274,1,3704524.5,BENIGN,0
197,0,1,3,3,1333333.333,0,0,0,0.5,0,0,BENIGN,1
198,0,2,2,20994,190.5306278,13813.47052,43,102,4,0,0,BENIGN,0
199,0,2,0,3,666666.6667,4.00E+06,6,0,0,0,0,BENIGN,1
200,0,2,2,48296,82.822594,5052.178234,35,87,2,0,0,BENIGN,0
201,0,44,40,115853058,0.72505639,106.8249748,117.8636364,179.75,2968958.282,1,471762.2727,BENIGN,0
202,0,2,10,14341646,0.836724041,0,0,0,1588877.556,1,6341681,BENIGN,0
203,0,2,2,22197,180.2045321,17389.73735,56,137,3,0,0,BENIGN,0
204,0,1,2,160,18750,112500,6,6,3,0,0,BENIGN,1
205,0,24,22,116261623,0.395659366,68.34585476,78.91666667,275.0909091,5533303.476,1,143928.5,BENIGN,0
206,0,2,2,20837,191.9662139,7486.682344,31,47,2,0,0,BENIGN,0
207,0,18,0,6016336,2.991854178,370.9899181,124,0,0,0,0,BENIGN,0
208,0,4,0,643,6220.839813,200622.084,32.25,0,0,0,0,BENIGN,0
209,0,36,30,117803772,0.560253707,51.86591139,92.72222222,92.4,4061265.034,1,164003.5,BENIGN,0
210,0,2,2,21793,183.5451751,8993.713578,41,57,3,0,0,BENIGN,0
211,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
212,0,1,2,94,31914.89362,0,0,0,2,0,0,BENIGN,1
213,0,2,2,20730,192.9570671,13989.38736,43,102,2,0,0,BENIGN,0
214,0,14,0,116491703,0.120180233,0,0,0,0,0,977.5,BENIGN,0
215,0,22,18,117249977,0.341151453,22.99360792,88.63636364,41.44444444,6883320.588,1,264980,BENIGN,0
216,0,3,0,2,1500000,0,0,0,0,0,0,BENIGN,1
217,0,2,2,21292,187.8639865,15029.11892,32,128,2,0,0,BENIGN,0
218,0,1,2,211,14218.00948,85308.05687,6,6,2,0,0,BENIGN,1
219,0,2,2,20998,190.4943328,10096.19964,45,61,1,0,0,BENIGN,0
220,0,4,0,531,7532.956685,242937.8531,32.25,0,0,0,0,BENIGN,0
221,0,20,19,10345748,3.7696646,1516.758382,213.3,601.3684211,571190.2778,1,529849,BENIGN,0
222,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,0
223,0,2,2,20874,191.6259462,12264.06055,50,78,3,0,0,BENIGN,0
224,0,1,4,159,31446.54088,150943.3962,0,6,1.333333333,0,0,BENIGN,1
225,0,35,49,10091491,8.323844316,6293.61905,66.68571429,1248.530612,209718.6667,1,94261,BENIGN,0
226,0,2,2,23098,173.1751667,12295.43683,43,99,3,0,0,BENIGN,0
227,0,2,0,1,2.00E+06,0,0,0,0,0,0,BENIGN,0
228,0,6,0,420764,14.25977508,342.2346018,24,0,0,0,0,BENIGN,0
229,0,2,2,45195,88.50536564,5044.805841,43,71,3,0,0,BENIGN,0
230,0,1,2,1,3.00E+06,0,0,0,0,0,0,BENIGN,1
231,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,1
232,0,2,2,21549,185.6234628,9281.17314,42,58,4,0,0,BENIGN,0
233,0,2,2,21075,189.7983393,14045.07711,36,112,3,0,0,BENIGN,0
234,0,39,0,116347619,0.33520239,0,0,0,0,0,6.416666667,BENIGN,0
235,0,3,2,255,19607.84314,313725.4902,22.66666667,6,3,0,0,BENIGN,1
236,0,1,2,183,16393.44262,98360.65574,6,6,2,0,0,BENIGN,1
237,0,26,29,849777,64.72286259,13481.18389,87.15384615,316.8965517,28877.53571,1,0,BENIGN,0
238,0,1,2,165,18181.81818,109090.9091,6,6,3,0,0,BENIGN,1
239,0,1,1,26810,74.59903021,0,0,0,0,0,0,BENIGN,0
240,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
241,0,2,0,1,2.00E+06,0,0,0,0,0,0,BENIGN,1
242,0,1,2,162,18518.51852,111111.1111,6,6,2,0,0,BENIGN,1
243,0,2,2,20775,192.5391095,9626.955475,42,58,2,0,0,BENIGN,0
244,0,1,2,111,27027.02703,0,0,0,3,0,0,BENIGN,1
245,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
246,0,38,56,114491457,0.821021956,50.06487078,91.89473684,40,2080917.964,0,265067.5,BENIGN,0
247,0,1,2,1,3.00E+06,0,0,0,0,0,0,BENIGN,1
248,0,5,0,393,12722.64631,391857.5064,30.8,0,0,0,0,BENIGN,0
249,0,18,13,60278,514.2838183,162629.8152,94.05555556,623.8461538,3222.25,1,0,BENIGN,0
250,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
251,0,4,0,417,9592.326139,309352.518,32.25,0,0,0,0,BENIGN,0
252,0,41,46,6082536,14.30324457,9350.047414,37.75609756,1202.695652,17505.17778,1,0,BENIGN,0
253,0,1,2,25293,118.6098921,711.6593524,6,6,2,0,0,BENIGN,0
254,0,2,2,21001,190.4671206,15237.36965,32,128,3,0,0,BENIGN,0
255,0,3,2,1162,4302.92599,80895.00861,27.33333333,6,3,0,0,BENIGN,1
256,0,2,2,24219,165.1595854,8753.458029,45,61,2,0,0,BENIGN,0
257,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
258,0,32,30,117843440,0.526121776,105.190412,81.3125,326.4666667,4061421.207,1,133626,BENIGN,0
259,0,1,2,193,15544.04145,93264.2487,6,6,3,0,0,BENIGN,1
260,0,2,2,25616,156.1524047,5153.029357,25,41,2,0,0,BENIGN,0
261,0,2,2,50232,79.63051441,4538.939322,43,71,3,0,0,BENIGN,0
262,0,2,0,2,1.00E+06,0,0,0,0,0,0,BENIGN,1
263,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
264,0,2,2,20579,194.3729044,10690.50974,31,79,2,0,0,BENIGN,0
265,0,14,11,5132605,4.870820957,1864.745095,97.07142857,746.5454545,5874.7,1,126574,BENIGN,0
266,0,3,7,26807,373.0368933,219644.1228,6,838.5714286,2703,0,0,BENIGN,0
267,0,2,2,46986,85.13174137,5533.563189,37,93,2,0,0,BENIGN,0
268,0,1,2,103,29126.21359,174757.2816,6,6,1,0,0,BENIGN,1
269,0,3,2,696,7183.908046,135057.4713,27.33333333,6,1,0,0,BENIGN,1
270,0,8,8,34137082,0.468698526,26.01276817,37,74,4868785.857,0,2688702,BENIGN,0
271,0,2,0,2,1.00E+06,6.00E+06,6,0,0,0,0,BENIGN,0
272,0,2,2,21620,185.013876,9250.693802,42,58,3,0,0,BENIGN,0
273,0,2,2,70063,57.09147482,3140.031115,47,63,2,0,0,BENIGN,0
274,0,4,0,548,7299.270073,224452.5547,30.75,0,0,0,0,BENIGN,0
275,0,2,2,21149,189.134238,10307.81597,36,73,2,0,0,BENIGN,0
276,0,28,26,116777388,0.462418289,72.77093747,67.64285714,254,4669453.24,1,253938,BENIGN,0
277,0,2,2,20677,193.4516613,13251.4388,30,107,3,0,0,BENIGN,0
278,0,2,2,20821,192.1137313,10182.02776,45,61,1,0,0,BENIGN,0
279,0,21,15,1452792,24.77987214,6936.987538,150.2857143,461.4666667,7241.285714,1,0,BENIGN,0
280,0,2,2,20989,190.576016,10291.10486,38,70,3,0,0,BENIGN,0
281,0,2,2,23353,171.2842033,12246.82054,37,106,2,0,0,BENIGN,0
282,0,1,1,28885,69.24009001,0,0,0,0,0,0,BENIGN,0
283,0,2,2,21212,188.5725061,13671.50669,43,102,2,0,0,BENIGN,0
284,0,2,2,20964,190.8032818,7632.131273,32,48,1,0,0,BENIGN,0
285,0,3,3,132952,45.12906914,1083.097659,33.66666667,14.33333333,66474.5,0,0,BENIGN,0
286,0,6,0,9000033,0.666664222,0,0,0,0,1,2999654,BENIGN,0
287,0,2,2,20935,191.0675902,17960.35348,39,149,2,0,0,BENIGN,0
288,0,2,2,21034,190.1682989,10934.67719,38,77,3,0,0,BENIGN,0
289,0,3,9,43795,274.0038817,134718.5752,6,653.5555556,2201.375,0,0,BENIGN,0
290,0,2,2,23062,173.4454948,12141.18463,40,100,45,0,0,BENIGN,0
291,0,2,0,2,1.00E+06,0,0,0,0,0,0,BENIGN,0
292,0,44,51,115629244,0.821591465,209.8690535,229.3409091,277.9607843,2210063.92,1,41329.75,BENIGN,0
293,0,3,0,4,750000,4500000,6,0,0,0,0,BENIGN,1
294,0,2,2,20714,193.1061118,9848.411702,43,59,3,0,0,BENIGN,0
295,0,2,0,1,2.00E+06,3.00E+07,15,0,0,0,0,BENIGN,0
296,0,2,0,1,2.00E+06,2.40E+07,12,0,0,0,0,BENIGN,0
297,0,2,2,47189,84.76551739,5552.141389,45,86,3,0,0,BENIGN,0
298,0,2,2,21473,186.2804452,12108.22894,37,93,3,0,0,BENIGN,0
299,0,2,2,57303,69.80437324,4676.893007,39,95,3,0,0,BENIGN,0
300,0,22,18,117266771,0.341102596,23.07559061,89.09090909,41.44444444,6894382.941,1,134141,BENIGN,0
301,0,3,0,394,7614.213198,45685.27919,6,0,0,0,0,BENIGN,1
302,0,35,30,115627224,0.562151349,39.43707928,49.71428571,94,3892333.379,1,90998.81818,BENIGN,0
303,0,1,2,204,14705.88235,88235.29412,6,6,3,0,0,BENIGN,1
304,0,2,2,46936,85.22243054,6391.682291,47,103,3,0,0,BENIGN,0
305,0,2,2,20690,193.3301112,23392.94345,44,198,3,0,0,BENIGN,0
306,0,26,17,118093887,0.364117069,64.49106041,70.53846154,340.1176471,7378263.875,1,251216,BENIGN,0
307,0,2,2,46797,85.47556467,4444.729363,44,60,1,0,0,BENIGN,0
308,0,31,28,115303072,0.511694953,24.24913709,33.74193548,62.5,4083850.074,1,35069.63636,BENIGN,0
309,0,31,28,115516369,0.510750126,22.76733612,33.61290323,56.71428571,4089617.074,1,36806.09091,BENIGN,0
310,0,2,2,20824,192.0860546,9604.302728,42,58,3,0,0,BENIGN,0
311,0,2,2,20900,191.3875598,11291.86603,45,73,2,0,0,BENIGN,0
312,0,2,2,23638,169.2190541,8968.609865,45,61,3,0,0,BENIGN,0
313,0,2,2,20693,193.3020828,10631.61456,31,79,3,0,0,BENIGN,0
314,0,18,13,84547,366.6599643,143955.4331,91.05555556,810.1538462,4978.25,1,0,BENIGN,0
315,0,2,2,46310,86.37443317,4405.096092,43,59,2,0,0,BENIGN,0
316,0,2,2,46089,86.78860466,6075.202326,43,97,3,0,0,BENIGN,0
317,0,2,2,53037,75.41904708,5166.204725,36,101,2,0,0,BENIGN,0
318,0,3,3,28339,211.7223614,3175.835421,4,26,118.5,0,0,BENIGN,0
319,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
320,0,2,0,1,2.00E+06,3.70E+07,18.5,0,0,0,0,BENIGN,0
